,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2011.512333968401
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1933.9188062039962
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287.872221947919
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-161.1064434349305
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1856.3252784395913
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7443.059277476728
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,382.0482509159024
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,537.2353064447116
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,382.0482509159024
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6434.343416539468
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,71.67413985828352
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,537.2353064447116
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3253.0087781988755
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,226.86119538709318
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1623.5446951463773
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1701.1382229107821
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2244.2929172616145
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,71.67413985828352
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,770.015889737926
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,149.26766762268835
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4727.285805722566
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4028.944055842923
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3175.4152504344706
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,692.4223619735212
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3253.0087781988755
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3253.0087781988755
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4727.285805722566
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3485.78936149209
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9382.897471586846
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9382.897471586846
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1002.7964730311396
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5580.814611131016
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16987.063192498506
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5658.408138895422
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,847.6094175023304
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3175.4152504344706
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5580.814611131016
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6511.936944303872
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6201.562833246255
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3175.4152504344706
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5503.221083366612
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9538.084527115656
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,925.2029452667348
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1080.3900007955444
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,149.26766762268835
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,304.45472315149755
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3175.4152504344706
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,304.45472315149755
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6744.717527597086
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701.1382229107821
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6511.936944303872
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1778.731750675187
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-471.4805544925491
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1623.5446951463773
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6123.969305481849
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,71.67413985828352
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1468.3576396175677
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9460.49099935125
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5736.001666659826
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,149.26766762268835
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,847.6094175023304
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5736.001666659826
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6744.717527597086
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5813.5951944242315
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3253.0087781988755
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,-5.919387906121301
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6201.562833246255
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3485.78936149209
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1002.7964730311396
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1933.9188062039962
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701.1382229107821
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5580.814611131016
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5503.221083366612
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5658.408138895422
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3408.195833727685
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5580.814611131016
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,304.45472315149755
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7210.278694183515
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,149.26766762268835
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,6046.375777717445
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5580.814611131016
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-471.4805544925491
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,459.64177868030674
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2011.512333968401
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4727.285805722566
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3330.6023059632803
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4184.131111371731
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5813.5951944242315
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3253.0087781988755
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1080.3900007955444
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,304.45472315149755
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11089.955082403749
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6511.936944303872
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1778.731750675187
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,71.67413985828352
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9615.67805488006
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13417.76091533589
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,304.45472315149755
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3175.4152504344706
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7520.652805241134
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,71.67413985828352
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2321.8864450260194
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4106.537583607327
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,770.015889737926
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,149.26766762268835
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7520.652805241134
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9460.49099935125
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2089.105861732806
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,149.26766762268835
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2089.105861732806
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5192.846972308993
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1778.731750675187
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5658.408138895422
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5968.782249953039
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,7132.685166419109
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13417.76091533589
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9538.084527115656
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13495.354443100292
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-83.51291567052567
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3175.4152504344706
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3175.4152504344706
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15745.56674826803
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2244.2929172616145
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1933.9188062039962
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,7055.091638654705
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1778.731750675187
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9926.05216593768
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3175.4152504344706
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9926.05216593768
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5658.408138895422
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9382.897471586846
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3175.4152504344706
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1002.7964730311396
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13340.167387571484
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,149.26766762268835
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1157.9835285599493
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3175.4152504344706
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,7055.091638654705
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5891.188722188635
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3175.4152504344706
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1856.3252784395913
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,6201.562833246255
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4882.472861251375
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3253.0087781988755
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2166.6993894972097
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3253.0087781988755
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4649.69227795816
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5968.782249953039
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4416.9116946649465
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6279.156361010659
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3175.4152504344706
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5813.5951944242315
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4960.066389015779
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6279.156361010659
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14193.696192979936
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,304.45472315149755
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4727.285805722566
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3253.0087781988755
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11322.735665696962
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4028.944055842923
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3563.3828892564948
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,847.6094175023304
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,382.0482509159024
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,459.64177868030674
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7753.433388534348
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10934.76802687494
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5580.814611131016
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1390.7641118531628
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3253.0087781988755
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5580.814611131016
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4882.472861251375
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,149.26766762268835
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,71.67413985828352
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3175.4152504344706
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5580.814611131016
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9382.897471586846
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4727.285805722566
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-471.4805544925491
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,-316.2934989637399
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,459.64177868030674
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3408.195833727685
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,847.6094175023304
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,71.67413985828352
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5580.814611131016
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1701.1382229107821
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11089.955082403749
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1701.1382229107821
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3175.4152504344706
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1778.731750675187
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5580.814611131016
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,149.26766762268835
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5580.814611131016
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7365.465749712324
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5580.814611131016
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5891.188722188635
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4727.285805722566
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2089.105861732806
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3951.350528078518
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,71.67413985828352
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3640.9764170208996
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,7132.685166419109
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,9460.49099935125
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,7132.685166419109
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3175.4152504344706
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1856.3252784395913
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1313.170584088759
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,925.2029452667348
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,614.8288342091164
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2244.2929172616145
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3330.6023059632803
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9382.897471586846
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7908.620444063157
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5503.221083366612
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,925.2029452667348
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,692.4223619735212
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,459.64177868030674
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,71.67413985828352
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6511.936944303872
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,614.8288342091164
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,770.015889737926
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1623.5446951463773
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,149.26766762268835
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11089.955082403749
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,7598.246333005538
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5503.221083366612
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10081.239221466489
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,692.4223619735212
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,16288.721442618866
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,5580.814611131016
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,149.26766762268835
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,13650.541498629102
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,3175.4152504344706
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,5580.814611131016
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,9770.86511040887
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,304.45472315149755
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,9460.49099935125
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,-238.6999711993351
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5580.814611131016
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1002.7964730311396
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,5736.001666659826
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,9926.05216593768
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5580.814611131016
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,17219.843775791716
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,3175.4152504344706
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,5115.253444544587
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,226.86119538709318
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,7443.059277476728
